Unnamed: 0,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
14,52.0,21.7,23.5333333333333,10.6166666666667,42.9666666666667,9.5,8.83472222222222,9.31916666666667,0.0,23.6666666666667
0,51.0,14.05,11.575,9.2975,44.8,13.0,9.5875,9.99404761904762,1.5,18.25
1,52.0,0.0,12.4,10.17,43.75,12.25,10.5666666666667,10.952380952381,3.5,17.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,19.6125,18.625,10.8425,43.425,11.25,11.5833333333333,12.1797619047619,3.75,15.75
4,3.0,22.025,11.55,9.16,44.1,11.75,12.3125,13.0360119047619,1.0,18.25
5,4.0,25.925,15.575,11.6,44.475,14.0,13.0083333333333,13.875,2.25,17.75
6,5.0,28.225,15.25,10.0075,41.875,13.75,13.975,14.3928571428571,1.5,22.0
7,6.0,28.275,18.25,11.3525,43.075,12.75,14.7,15.315873015873,2.25,20.5
8,7.0,21.275,14.5,10.5325,41.6,15.5,15.5875,16.2900432900433,1.66666666666667,22.0
9,8.0,22.9499999999999,16.375,10.0,41.575,11.5,15.9375,16.6625,3.75,21.25
10,9.0,23.675,12.1666666666667,7.12,38.0,14.25,16.6992424242424,17.6488095238095,2.75,21.0
11,10.0,25.1,10.95,8.22,37.65,14.0,17.5357142857143,18.3962662337662,1.75,24.25
12,11.0,22.525,11.6,6.48,34.1,12.0,18.4055555555556,19.35,3.66666666666667,22.0
13,12.0,21.45,7.5,5.7475,34.625,15.25,19.55,20.2,2.0,22.75
0,7.0,13.4,12.35,8.035,41.25,15.75,10.575,11.3333333333333,1.5,22.5
1,8.0,21.675,18.575,11.0575,44.15,14.75,12.0,12.4333333333333,2.0,25.25
2,9.0,12.6,14.125,9.6,42.525,13.25,12.625,13.0833333333333,2.33333333333333,24.5
3,10.0,17.7,14.375,9.82,43.1,15.75,13.15,13.6116071428571,2.0,24.25
4,11.0,20.65,16.7,10.555,40.975,15.5,14.25,14.5044642857143,2.75,25.5
5,12.0,26.425,13.9,11.1475,42.375,16.0,14.9166666666667,15.6190476190476,3.75,23.0
6,13.0,16.225,9.25,8.51,36.95,17.0,15.8285714285714,14.3928571428571,4.5,28.0
7,14.0,27.15,12.275,9.6025,42.525,16.25,17.0833333333333,16.6666666666667,3.0,29.0
8,15.0,26.25,12.075,8.8425,41.375,15.0,17.875,18.4777777777778,3.25,29.75
9,16.0,17.325,9.6,6.2475,40.45,14.5,16.375,16.75,2.75,29.75
10,17.0,23.375,19.2,7.7425,41.15,16.25,17.25,18.0,2.66666666666667,30.5
11,18.0,0.0,0.0,8.4575,42.975,14.0,18.0,19.5,6.25,27.25
12,19.0,0.0,0.0,7.98,45.875,14.75,18.5,0.0,3.0,26.25
13,20.0,0.0,0.0,7.92,47.175,12.5,18.5,0.0,5.5,20.75
0,49.0,21.125,17.2,9.885,54.1,8.75,4.0625,4.775,0.0,10.0
1,50.0,18.3,13.55,9.8525,55.85,12.0,4.6,5.45416666666667,0.0,11.25
0,16.0,19.3,11.275,8.4025,35.8,12.0,23.45,23.875,3.0,15.25
1,17.0,10.425,10.425,8.6725,38.25,4.75,24.25,0.0,1.25,17.5
2,12.0,12.85,20.925,7.2375,38.925,11.5,20.925,21.275,1.75,12.5
0,11.0,18.2,14.925,7.1125,31.7,14.75,15.2275,15.6175,1.0,22.25
1,12.0,22.1,19.875,7.77,33.3,15.75,15.6,16.1,0.5,21.25
0,41.0,0.0,21.675,11.3975,44.925,7.75,3.5,4.535,0.0,7.25
1,42.0,18.9,10.325,8.04,48.4,10.0,4.235,5.83,0.0,9.75
0,47.0,22.175,17.85,12.09,55.675,10.25,1.83333333333333,2.43333333333333,0.0,5.5
1,48.0,22.25,25.65,12.6125,54.3,10.5,2.33333333333333,3.12142857142857,0.0,7.0
2,49.0,20.8,22.4,11.1825,48.6,12.0,3.08333333333333,3.95416666666667,0.0,9.0
0,43.0,15.925,14.475,9.0275,38.975,13.0,6.6,6.925,1.0,13.75
1,44.0,28.075,7.9,7.755,41.4,12.75,7.3325,7.4,2.25,13.25
0,42.0,15.15,12.575,6.675,39.35,12.0,3.0,3.58333333333333,0.0,7.75
1,43.0,14.0,0.0,8.32,41.475,14.25,3.66666666666667,4.15625,0.0,9.75
